CODES SITE PLOT DATE SAMPLE_ID NUMBER_FLOWERS_COLLECTED COMMENTS1 COMMENTS2 COMMENTS3 D RECODE
SB 28 7 20200814 SB-28-07-20200814 na na na NA 2020-08-14 SB
SB 28 8 20200814 SB-28-08-20200814 na na na NA 2020-08-14 SB
SB 28 9 20200814 SB-28-09-20200814 na na na NA 2020-08-14 SB
SB 28 10 20200814 SB-28-10-20200814 na na na NA 2020-08-14 SB
SB 28 11 20200814 SB-28-11-20200814 na na na NA 2020-08-14 SB
SB 28 12 20200814 SB-28-12-20200814 na na na NA 2020-08-14 SB
SB 28 13 20200814 SB-28-13-20200814 na na na NA 2020-08-14 SB
SB 28 14 20200814 SB-28-14-20200814 na na na NA 2020-08-14 SB
SB 28 15 20200814 SB-28-15-20200814 na na na NA 2020-08-14 SB
SB 28 16 20200814 SB-28-16-20200814 na na na NA 2020-08-14 SB
SB 28 17 20200814 SB-28-17-20200814 na na na NA 2020-08-14 SB
SB 28 18 20200814 SB-28-18-20200814 na na na NA 2020-08-14 SB
FH 32 1 20200117 FH-32-1-20200117 8 na na NA 2020-01-17 FH
FH 32 2 20200117 FH-32-2-20200117 18 na na NA 2020-01-17 FH
FH 32 3 20200117 FH-32-3-20200117 9 na na NA 2020-01-17 FH
FH 32 4 20200117 FH-32-4-20200117 2 na na NA 2020-01-17 FH
FH 32 6 20200117 FH-32-6-20200117 2 na na NA 2020-01-17 FH
FH 32 1 20200131 FH-32-1-20200131 25 na na NA 2020-01-31 FH
FH 32 2 20200131 FH-32-2-20200131 80 na na NA 2020-01-31 FH
FH 32 3 20200131 FH-32-3-20200131 32 na na NA 2020-01-31 FH
FH 32 4 20200131 FH-32-4-20200131 3 na na NA 2020-01-31 FH
FH 32 6 20200131 FH-32-6-20200131 10 na na NA 2020-01-31 FH
FH 32 7 20200131 FH-32-7-20200131 1 na na NA 2020-01-31 FH
FH 32 10 20200131 FH-32-10-20200131 1 na na NA 2020-01-31 FH
FH 32 11 20200131 FH-32-11-20200131 1 na na NA 2020-01-31 FH
FH 32 12 20200131 FH-32-12-20200131 3 na na NA 2020-01-31 FH
FH 32 1 20200214 FH-32-1-20200214 41 na na NA 2020-02-14 FH
FH 32 2 20200214 FH-32-2-20200214 100 na na NA 2020-02-14 FH
FH 32 3 20200214 FH-32-3-20200214 84 na na NA 2020-02-14 FH
FH 32 4 20200214 FH-32-4-20200214 15 na na NA 2020-02-14 FH
FH 32 6 20200214 FH-32-6-20200214 8 na na NA 2020-02-14 FH
FH 32 10 20200214 FH-32-10-20200214 1 na na NA 2020-02-14 FH
FH 32 12 20200214 FH-32-12-20200214 2 na na NA 2020-02-14 FH
FH 42 1 20200319 FH-42-1-20200319 13 na na NA 2020-03-19 FH
FH 42 2 20200319 FH-42-2-20200319 14 na na NA 2020-03-19 FH
FH 42 3 20200319 FH-42-3-20200319 11 na na NA 2020-03-19 FH
FH 42 7 20200319 FH-42-7-20200319 14 na na NA 2020-03-19 FH
FH 42 8 20200319 FH-42-8-20200319 26 na na NA 2020-03-19 FH
FH 42 4 20200331 FH-42-4-20200331 11 na na NA 2020-03-31 FH
FH 42 5 20200331 FH-42-5-20200331 15 na na NA 2020-03-31 FH
FH 42 6 20200331 FH-42-6-20200331 8 na na NA 2020-03-31 FH
FH 42 9 20200415 FH-42-9-20200415 13 na na NA 2020-04-15 FH
FH 42 10 20200415 FH-42-10-20200415 12 na na NA 2020-04-15 FH
FH 43 1 20200220 FH-43-1-20200224 0 na na NA 2020-02-20 FH
FH 43 2 20200220 FH-43-2-20200224 0 na na NA 2020-02-20 FH
FH 43 3 20200220 FH-43-3-20200224 0 na na NA 2020-02-20 FH
FH 43 4 20200220 FH-43-4-20200224 2 na na NA 2020-02-20 FH
FH 43 5 20200220 FH-43-5-20200224 5 na na NA 2020-02-20 FH
FH 43 6 20200220 FH-43-6-20200224 3 na na NA 2020-02-20 FH
FH 43 7 20200220 FH-43-7-20200224 5 na na NA 2020-02-20 FH
FH 43 8 20200220 FH-43-8-20200224 2 na na NA 2020-02-20 FH
FH 43 9 20200220 FH-43-9-20200224 1 na na NA 2020-02-20 FH
FH 43 10 20200220 FH-43-10-20200224 0 na na NA 2020-02-20 FH
FH 43 11 20200220 FH-43-11-20200224 0 na na NA 2020-02-20 FH
FH 43 12 20200220 FH-43-12-20200224 1 na na NA 2020-02-20 FH
FH 43 1 20200309 FH-43-1-20200309 0 na na NA 2020-03-09 FH
FH 43 2 20200309 FH-43-2-20200309 22 na na NA 2020-03-09 FH
FH 43 3 20200309 FH-43-3-20200309 0 na na NA 2020-03-09 FH
FH 43 4 20200309 FH-43-4-20200309 13 na na NA 2020-03-09 FH
FH 43 5 20200309 FH-43-5-20200309 33 na na NA 2020-03-09 FH
FH 43 6 20200309 FH-43-6-20200309 27 na na NA 2020-03-09 FH
FH 43 7 20200309 FH-43-7-20200309 12 na na NA 2020-03-09 FH
FH 43 8 20200309 FH-43-8-20200309 25 na na NA 2020-03-09 FH
FH 43 9 20200309 FH-43-9-20200309 19 na na NA 2020-03-09 FH
FH 43 10 20200309 FH-43-10-20200309 0 na na NA 2020-03-09 FH
FH 43 11 20200309 FH-43-11-20200309 7 na na NA 2020-03-09 FH
FH 43 12 20200309 FH-43-12-20200309 28 na na NA 2020-03-09 FH
SB 43 1 20200518 SB-43-1-20200518 na na na NA 2020-05-18 SB
SB 43 2 20200518 SB-43-2-20200518 na na na NA 2020-05-18 SB
SB 43 3 20200518 SB-43-3-20200518 na na na NA 2020-05-18 SB
SB 43 4 20200518 SB-43-4-20200518 na na na NA 2020-05-18 SB
SB 43 5 20200518 SB-43-5-20200518 na na na NA 2020-05-18 SB
SB 43 6 20200518 SB-43-6-20200518 na na na NA 2020-05-18 SB
SB 43 7 20200518 SB-43-7-20200518 na na na NA 2020-05-18 SB
SB 43 8 20200518 SB-43-8-20200518 na na na NA 2020-05-18 SB
SB 43 9 20200518 SB-43-9-20200518 na na na NA 2020-05-18 SB
SB 43 10 20200518 SB-43-10-20200518 na na na NA 2020-05-18 SB
SB 43 11 20200518 SB-43-11-20200518 na na na NA 2020-05-18 SB
SB 43 12 20200518 SB-43-12-20200518 na na na NA 2020-05-18 SB
FH 45 1 20200113 FH-45-I-20200113 7 na na NA 2020-01-13 FH
FH 45 1 20200127 FH-45-I-20200127 12 na na NA 2020-01-27 FH
FH 45 4 20200127 FH-45-IV-20200127 1 na na NA 2020-01-27 FH
FH 45 6 20200127 FH-45-VI-20200127 3 na na NA 2020-01-27 FH
FH 45 8 20200127 FH-45-VIII-20200127 2 na na NA 2020-01-27 FH
FH 45 10 20200127 FH-45-X-20200127 5 na na NA 2020-01-27 FH
FH 45 11 20200127 FH-45-XI-20200127 5 na na NA 2020-01-27 FH
FH 45 1 20200210 FH-45-I-20200210 42 na na NA 2020-02-10 FH
FH 45 2 20200210 FH-45-II-20200210 12 na na NA 2020-02-10 FH
FH 45 4 20200210 FH-45-IV-20200210 81 na na NA 2020-02-10 FH
FH 45 5 20200210 FH-45-V-20200210 7 na na NA 2020-02-10 FH
FH 45 6 20200210 FH-45-VI-20200210 48 na na NA 2020-02-10 FH
FH 45 8 20200210 FH-45-VIII-20200210 19 na na NA 2020-02-10 FH
FH 45 9 20200210 FH-45-IX-20200210 1 na na NA 2020-02-10 FH
FH 45 10 20200210 FH-45-X-20200210 27 na na NA 2020-02-10 FH
FH 45 11 20200210 FH-45-XI-20200210 29 na na NA 2020-02-10 FH
FH 45 12 20200210 FH-45-XII-20200210 20 na na NA 2020-02-10 FH
FH 45 1 20200225 FH-45-1-20200225 70 na na NA 2020-02-25 FH
FH 45 2 20200225 FH-45-2-20200225 79 na na NA 2020-02-25 FH
FH 45 4 20200225 FH-45-4-20200225 44 na na NA 2020-02-25 FH
FH 45 5 20200225 FH-45-5-20200225 1 na na NA 2020-02-25 FH
FH 45 6 20200225 FH-45-6-20200225 73 na na NA 2020-02-25 FH
FH 45 8 20200225 FH-45-8-20200225 29 na na NA 2020-02-25 FH
FH 45 9 20200225 FH-45-9-20200225 4 na na NA 2020-02-25 FH
FH 45 10 20200225 FH-45-10-20200225 34 na na NA 2020-02-25 FH
FH 45 11 20200225 FH-45-11-20200225 52 na na NA 2020-02-25 FH
FH 45 12 20200225 FH-45-12-20200225 62 na na NA 2020-02-25 FH
FH 45 1 20200310 FH-45-1-20200310 11 na na NA 2020-03-10 FH
FH 45 2 20200310 FH-45-2-20200310 15 na na NA 2020-03-10 FH
FH 45 4 20200310 FH-45-4-20200310 1 na na NA 2020-03-10 FH
FH 45 6 20200310 FH-45-6-20200310 11 na na NA 2020-03-10 FH
FH 45 10 20200310 FH-45-10-20200310 2 na na NA 2020-03-10 FH
FH 45 11 20200310 FH-45-11-20200310 1 na na NA 2020-03-10 FH
FH 45 12 20200310 FH-45-12-20200310 5 na na NA 2020-03-10 FH
FH 46 1 20200403 FH-46-1-20200403 100 > 100 plants per plot. However, most of them were super small (diameter <2 mm and purple; see pictures in online diary)  na NA 2020-04-03 FH
FH 46 2 20200403 FH-46-2-20200403 100 and only had one terminal flower per inflorescence. Those were not sampled.  na NA 2020-04-03 FH
FH 46 3 20200403 FH-46-3-20200403 100 Otherwise a random sample of up to 100 flowers was taken for each plot. na NA 2020-04-03 FH
FH 46 4 20200403 FH-46-4-20200403 100 na na NA 2020-04-03 FH
FH 46 5 20200403 FH-46-5-20200403 91 na na NA 2020-04-03 FH
FH 46 6 20200403 FH-46-6-20200403 95 na na NA 2020-04-03 FH
