"sampleid","code","site","plot","date","year","month","day","flowerscollected","isreplicate","isfailedlabwork","isdispersion","sampleid_alternative","generation","generation_merge57","mapped_reads","coverage","usesample","weighted_mean_coverage"
"MLFH010920180507","FH",1,9,"20180507",2018,5,7,40,FALSE,FALSE,FALSE,NA,1,1,8854322,8.854322,TRUE,8.22507653023256
"MLFH010920180518","FH",1,9,"20180518",2018,5,18,26,FALSE,FALSE,FALSE,NA,1,1,7485394,7.485394,TRUE,8.22507653023256
"MLFH010920190220","FH",1,9,"20190220",2019,2,20,1,FALSE,FALSE,FALSE,NA,2,2,5435914,5.435914,TRUE,2.76367233823529
"MLFH010920190401","FH",1,9,"20190401",2019,4,1,2,FALSE,FALSE,FALSE,NA,2,2,5357372,5.357372,TRUE,2.76367233823529
"MLFH010920190415","FH",1,9,"20190415",2019,4,15,24,FALSE,FALSE,FALSE,NA,2,2,2782890,2.78289,TRUE,2.76367233823529
"MLFH010920190429","FH",1,9,"20190429",2019,4,29,17,FALSE,FALSE,FALSE,NA,2,2,3198965,3.198965,TRUE,2.76367233823529
"MLFH010920190513","FH",1,9,"20190513",2019,5,13,16,FALSE,FALSE,FALSE,NA,2,2,2570391,2.570391,TRUE,2.76367233823529
"MLFH010920190528","FH",1,9,"20190528",2019,5,28,8,FALSE,FALSE,FALSE,NA,2,2,1185130,1.18513,TRUE,2.76367233823529
"MLFH010920200323","FH",1,9,"20200323",2020,3,23,1,FALSE,FALSE,FALSE,NA,3,3,5305837,5.305837,TRUE,6.846714
"MLFH010920200406","FH",1,9,"20200406",2020,4,6,4,FALSE,FALSE,FALSE,NA,3,3,6728059,6.728059,TRUE,6.846714
"MLFH010920200420","FH",1,9,"20200420",2020,4,20,8,FALSE,FALSE,FALSE,NA,3,3,7097137,7.097137,TRUE,6.846714
"MLFH010920200504","FH",1,9,"20200504",2020,5,4,3,FALSE,FALSE,FALSE,NA,3,3,9310094,9.310094,TRUE,6.846714
"MLFH010920200518","FH",1,9,"20200518",2020,5,18,4,FALSE,FALSE,FALSE,NA,3,3,5539398,5.539398,TRUE,6.846714
"MLFH010920200602","FH",1,9,"20200602",2020,6,2,1,FALSE,FALSE,FALSE,NA,3,3,4697951,4.697951,TRUE,6.846714
"MLFH011020180409","FH",1,10,"20180409",2018,4,9,22,FALSE,FALSE,FALSE,NA,1,1,6059867,6.059867,TRUE,7.84228694296578
"MLFH011020180423","FH",1,10,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,7244931,7.244931,TRUE,7.84228694296578
"MLFH011020180507","FH",1,10,"20180507",2018,5,7,85,FALSE,FALSE,FALSE,NA,1,1,8620228,8.620228,TRUE,7.84228694296578
"MLFH011020180518","FH",1,10,"20180518",2018,5,18,56,FALSE,FALSE,FALSE,NA,1,1,8428427,8.428427,TRUE,7.84228694296578
"MLFH011020190415","FH",1,10,"20190415",2019,4,15,29,FALSE,FALSE,FALSE,NA,2,2,2636845,2.636845,TRUE,2.1443475112782
"MLFH011020190429","FH",1,10,"20190429",2019,4,29,37,FALSE,FALSE,FALSE,NA,2,2,2046742,2.046742,TRUE,2.1443475112782
"MLFH011020190513","FH",1,10,"20190513",2019,5,13,31,FALSE,FALSE,FALSE,NA,2,2,1890852,1.890852,TRUE,2.1443475112782
"MLFH011020190528","FH",1,10,"20190528",2019,5,28,36,FALSE,FALSE,FALSE,NA,2,2,2066218,2.066218,TRUE,2.1443475112782
"MLFH011020200406","FH",1,10,"20200406",2020,4,6,3,FALSE,FALSE,FALSE,NA,3,3,4658868,4.658868,TRUE,4.41017275
"MLFH011020200420","FH",1,10,"20200420",2020,4,20,1,FALSE,FALSE,FALSE,NA,3,3,3664087,3.664087,TRUE,4.41017275
"MLFH011120180409","FH",1,11,"20180409",2018,4,9,26,FALSE,FALSE,FALSE,NA,1,1,2804881,2.804881,TRUE,2.17178682589286
"MLFH011120180423","FH",1,11,"20180423",2018,4,23,88,FALSE,FALSE,FALSE,NA,1,1,2732174,2.732174,TRUE,2.17178682589286
"MLFH011120180507","FH",1,11,"20180507",2018,5,7,63,FALSE,FALSE,FALSE,NA,1,1,1340412,1.340412,TRUE,2.17178682589286
"MLFH011120180518","FH",1,11,"20180518",2018,5,18,47,FALSE,FALSE,FALSE,NA,1,1,1886725,1.886725,TRUE,2.17178682589286
"MLFH011120190401","FH",1,11,"20190401",2019,4,1,15,FALSE,FALSE,FALSE,NA,2,2,7363511,7.363511,TRUE,7.52530496350365
"MLFH011120190415","FH",1,11,"20190415",2019,4,15,52,FALSE,FALSE,FALSE,NA,2,2,8445588,8.445588,TRUE,7.52530496350365
"MLFH011120190429","FH",1,11,"20190429",2019,4,29,21,FALSE,FALSE,FALSE,NA,2,2,7353194,7.353194,TRUE,7.52530496350365
"MLFH011120190513","FH",1,11,"20190513",2019,5,13,26,FALSE,FALSE,FALSE,NA,2,2,6628509,6.628509,TRUE,7.52530496350365
"MLFH011120190528","FH",1,11,"20190528",2019,5,28,23,FALSE,FALSE,FALSE,NA,2,2,6721097,6.721097,TRUE,7.52530496350365
"MLFH011120200323","FH",1,11,"20200323",2020,3,23,90,FALSE,FALSE,FALSE,NA,3,3,7013891,7.013891,TRUE,6.66086226515151
"MLFH011120200406","FH",1,11,"20200406",2020,4,6,100,FALSE,FALSE,FALSE,NA,3,3,7172890,7.17289,TRUE,6.66086226515151
"MLFH011120200420","FH",1,11,"20200420",2020,4,20,32,FALSE,FALSE,FALSE,NA,3,3,5243208,5.243208,TRUE,6.66086226515151
"MLFH011120200504","FH",1,11,"20200504",2020,5,4,17,FALSE,FALSE,FALSE,NA,3,3,5984291,5.984291,TRUE,6.66086226515151
"MLFH011120200518","FH",1,11,"20200518",2020,5,18,23,FALSE,FALSE,FALSE,NA,3,3,5875639,5.875639,TRUE,6.66086226515151
"MLFH011120200602","FH",1,11,"20200602",2020,6,2,2,FALSE,FALSE,FALSE,NA,3,3,2636574,2.636574,TRUE,6.66086226515151
"MLFH011220180409","FH",1,12,"20180409",2018,4,9,29,FALSE,FALSE,FALSE,NA,1,1,9547144,9.547144,TRUE,8.19898363374486
"MLFH011220180423","FH",1,12,"20180423",2018,4,23,100,FALSE,FALSE,FALSE,NA,1,1,8192801,8.192801,TRUE,8.19898363374486
"MLFH011220180507","FH",1,12,"20180507",2018,5,7,81,FALSE,FALSE,FALSE,NA,1,1,8050627,8.050627,TRUE,8.19898363374486
"MLFH011220180518","FH",1,12,"20180518",2018,5,18,33,FALSE,FALSE,FALSE,NA,1,1,7397120,7.39712,TRUE,8.19898363374486
"MLFH011220190401","FH",1,12,"20190401",2019,4,1,6,FALSE,FALSE,FALSE,NA,2,2,7601474,7.601474,TRUE,6.65897425373134
"MLFH011220190415","FH",1,12,"20190415",2019,4,15,18,FALSE,FALSE,FALSE,NA,2,2,6816061,6.816061,TRUE,6.65897425373134
"MLFH011220190429","FH",1,12,"20190429",2019,4,29,16,FALSE,FALSE,FALSE,NA,2,2,7080915,7.080915,TRUE,6.65897425373134
"MLFH011220190513","FH",1,12,"20190513",2019,5,13,16,FALSE,FALSE,FALSE,NA,2,2,7028732,7.028732,TRUE,6.65897425373134
