ID,match_1001G_250K,final1001G_name,final1001G_CS,final1001G_country,final1001G_latitude,final1001G_longitude,dat250K_name,dat250K_CS,dat250K_country,dat250K_latitude,dat250K_longitude,RegMap_name,RegMap_CS,RegMap_country,RegMap_latitude,RegMap_longitude,old1001G_name,old1001G_CS,old1001G_country,old1001G_latitude,old1001G_longitude
380,no,,,,,,TOU-I-6, ,France,46.6667,4.11667,TOU-I-6, ,France,46.6667,4.11667,,,,,
383,no,,,,,,TOU-J-3, ,France,46.6667,4.11667,TOU-J-3, ,France,46.6667,4.11667,,,,,
385,no,,,,,,TOU-K-2, ,France,46.6667,4.11667,TOU-K-2, ,France,46.6667,4.11667,,,,,
386,no,,,,,,TOU-K-3, ,France,46.6667,4.11667,TOU-K-3, ,France,46.6667,4.11667,,,,,
387,no,,,,,,TOU-L-10, ,France,46.6667,4.11667,TOU-L-10, ,France,46.6667,4.11667,,,,,
388,no,,,,,,TOU-L-17, ,France,46.6667,4.11667,TOU-L-17, ,France,46.6667,4.11667,,,,,
389,no,,,,,,TOU-L-5, ,France,46.6667,4.11667,TOU-L-5, ,France,46.6667,4.11667,,,,,
390,no,,,,,,VOU-1, ,France,46.65,0.166667,VOU-1, ,France,46.65,0.166667,,,,,
391,no,,,,,,VOU-10, ,France,46.65,0.166667,VOU-10, ,France,46.65,0.166667,,,,,
392,no,,,,,,VOU-2, ,France,46.65,0.166667,VOU-2, ,France,46.65,0.166667,,,,,
393,no,,,,,,VOU-4, ,France,46.65,0.166667,VOU-4, ,France,46.65,0.166667,,,,,
394,no,,,,,,VOU-5, ,France,46.65,0.166667,VOU-5, ,France,46.65,0.166667,,,,,
395,no,,,,,,VOU-6, ,France,46.65,0.166667,VOU-6, ,France,46.65,0.166667,,,,,
396,no,,,,,,VOU-7, ,France,46.65,0.166667,VOU-7, ,France,46.65,0.166667,,,,,
397,no,,,,,,VOU-8, ,France,46.65,0.166667,VOU-8, ,France,46.65,0.166667,,,,,
402,no,,,,,,Zdarec2, ,Czech Republic,49.3667,16.2667,Zdarec2, ,Czech Republic,49.3667,16.2667,,,,,
404,no,,,,,,Doubravnik1, ,Czech Republic,49.4211,16.3497,Doubravnik1, ,Czech Republic,49.4211,16.3497,,,,,
407,no,,,,,,Doubravnik4, ,Czech Republic,49.4211,16.3497,Doubravnik4, ,Czech Republic,49.4211,16.3497,,,,,
409,no,,,,,,Doubravnik6, ,Czech Republic,49.4211,16.3497,Doubravnik6, ,Czech Republic,49.4211,16.3497,,,,,
410,no,Doubravnik7,CS76808,CZE,49.4211,16.3497,,,,,,,,,,,Doubravnik7,Doubravnik7,CZE,49.4211,16.3497
413,no,,,,,,Doubravnik10, ,Czech Republic,49.4211,16.3497,Doubravnik10, ,Czech Republic,49.4211,16.3497,,,,,
