CODES,SITE,PLOT,DATE,SAMPLE_ID,NUMBER_FLOWERS_COLLECTED,TO_SKIP,REPLICATES
FH,52,3,20200327,FH-52-03-20200327,100,,
FH,52,3,20200403,FH-52-03-20200403,130,,
FH,52,4,20200320,FH-52-04-20200320,27,,
FH,52,4,20200327,FH-52-04-20200327,12,,
FH,52,4,20200403,FH-52-04-20200403,9,,
FH,53,3,20200320,FH-53-03-20200320,17,,
FH,53,3,20200408,FH-53-03-20200408,104,,
FH,53,4,20200320,FH-53-04-20200320,18,,
FH,53,4,20200408,FH-53-04-20200408,99,,
FH,54,3,20190330,FH-54-03-20190330,90,,
FH,54,3,20190418,FH-54-03-20190418,31,,
FH,54,3,20190524,FH-54-03-20190524,35,,
FH,54,4,20190330,FH-54-04-20190330,100,,
FH,54,4,20190418,FH-54-04-20190418,102,,
FH,54,4,20190524,FH-54-04-20190524,59,,
FH,54,3,20200325,FH-54-03-20200325,6,,
FH,54,3,20200408,FH-54-03-20200408,11,,
FH,54,4,20200325,FH-54-04-20200325,10,,
FH,54,4,20200408,FH-54-04-20200408,14,,
FH,55,4,20200228,FH-55-04-20200228,100,,
FH,55,6,20200228,FH-55-06-20200228,100,,
FH,57,4,20190918,FH-57-04-20190918,2,,
FH,57,4,20191002,FH-57-04-20191002,1,,
FH,57,4,20191016,FH-57-04-20191016,1,,
FH,57,6,20190807,FH-57-06-20190807,2,,
FH,57,6,20190918,FH-57-06-20190918,1,,
FH,57,6,20191002,FH-57-06-20191002,1,,
FH,57,6,20191016,FH-57-06-20191016,1,,
FH,57,6,20191026,FH-57-06-20191026,1,,
FH,57,4,20200319,FH-57-04-20200319,1,,
FH,57,4,20200401,FH-57-04-20200401,2,,
FH,57,4,20200415,FH-57-04-20200415,8,,
